"","node_id","CountNum","Surname","GivenNm","PartyAb","PartyNm","Votes","aec_full_name","short_name","colour_code","label"
"1",0,0,"TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)",54744,"Liberal","Liberal","#9966CC","Tudge (LP)"
"2",1,0,"PETHIYAGODA","Kadira Charudutta","ALP","Australian Labor Party (Victorian Branch)",29839,"Australian Labor Party","Labor","#F00011","Pethiyagoda (ALP)"
"3",2,0,"COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria",8867,"The Greens (VIC)","Greens","#10C25B","Cookson (GVIC)"
"4",3,0,"SIRIANNI-DUFFY","Matthew James Philip","UAPP","United Australia Party",3611,"United Australia Party","United Australia","#FFED00","Sirianni-Duffy (UAPP)"
"5",4,0,"KENNEDY","Anna","DLP","Democratic Labour Party",3029,"Labour DLP","Democratic Labour","#FFB536","Kennedy (DLP)"
"6",5,1,"TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)",55672,"Liberal","Liberal","#9966CC","Tudge (LP)"
"7",6,1,"PETHIYAGODA","Kadira Charudutta","ALP","Australian Labor Party (Victorian Branch)",30954,"Australian Labor Party","Labor","#F00011","Pethiyagoda (ALP)"
"8",7,1,"COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria",9388,"The Greens (VIC)","Greens","#10C25B","Cookson (GVIC)"
"9",8,1,"SIRIANNI-DUFFY","Matthew James Philip","UAPP","United Australia Party",4076,"United Australia Party","United Australia","#FFED00","Sirianni-Duffy (UAPP)"
"10",9,2,"TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)",57843,"Liberal","Liberal","#9966CC","Tudge (LP)"
"11",10,2,"PETHIYAGODA","Kadira Charudutta","ALP","Australian Labor Party (Victorian Branch)",32093,"Australian Labor Party","Labor","#F00011","Pethiyagoda (ALP)"
"12",11,2,"COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria",10154,"The Greens (VIC)","Greens","#10C25B","Cookson (GVIC)"
"13",12,3,"TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)",60180,"Liberal","Liberal","#9966CC","Tudge (LP)"
"14",13,3,"PETHIYAGODA","Kadira Charudutta","ALP","Australian Labor Party (Victorian Branch)",39910,"Australian Labor Party","Labor","#F00011","Pethiyagoda (ALP)"
