"","DivisionNm","CountNum","Surname","GivenNm","PartyAb","PartyNm","CalculationType","Votes"
"1","Bean",0,"CHRISTIE","Jamie Alan","IND","Independent","Preference Count",7683
"2","Bean",0,"CHRISTIE","Jamie Alan","IND","Independent","Transfer Count",0
"3","Bean",0,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Preference Count",29223
"4","Bean",0,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Transfer Count",0
"5","Bean",0,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Preference Count",12168
"6","Bean",0,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Transfer Count",0
"7","Bean",0,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Preference Count",2540
"8","Bean",0,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Transfer Count",0
"9","Bean",0,"FAULKNER","Therese Mary","AUP","Australian Progressives","Preference Count",2722
"10","Bean",0,"FAULKNER","Therese Mary","AUP","Australian Progressives","Transfer Count",0
"11","Bean",0,"HANLEY","Tony","UAPP","United Australia Party","Preference Count",2227
"12","Bean",0,"HANLEY","Tony","UAPP","United Australia Party","Transfer Count",0
"13","Bean",0,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Preference Count",929
"14","Bean",0,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Transfer Count",0
"15","Bean",0,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Preference Count",35447
"16","Bean",0,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Transfer Count",0
"17","Bean",1,"CHRISTIE","Jamie Alan","IND","Independent","Preference Count",7924
"18","Bean",1,"CHRISTIE","Jamie Alan","IND","Independent","Transfer Count",241
"19","Bean",1,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Preference Count",29327
"20","Bean",1,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Transfer Count",104
"21","Bean",1,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Preference Count",12217
"22","Bean",1,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Transfer Count",49
"23","Bean",1,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Preference Count",2656
"24","Bean",1,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Transfer Count",116
"25","Bean",1,"FAULKNER","Therese Mary","AUP","Australian Progressives","Preference Count",2839
"26","Bean",1,"FAULKNER","Therese Mary","AUP","Australian Progressives","Transfer Count",117
"27","Bean",1,"HANLEY","Tony","UAPP","United Australia Party","Preference Count",2454
"28","Bean",1,"HANLEY","Tony","UAPP","United Australia Party","Transfer Count",227
"29","Bean",1,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Preference Count",0
"30","Bean",1,"RUSHTON","Ben Anthony","GAP","The Great Australian Party","Transfer Count",-929
"31","Bean",1,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Preference Count",35522
"32","Bean",1,"SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Transfer Count",75
"33","Bean",2,"CHRISTIE","Jamie Alan","IND","Independent","Preference Count",8461
"34","Bean",2,"CHRISTIE","Jamie Alan","IND","Independent","Transfer Count",537
"35","Bean",2,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Preference Count",30156
"36","Bean",2,"COCKS","Edward John","LP","Liberal Party of Australia - ACT Division","Transfer Count",829
"37","Bean",2,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Preference Count",12438
"38","Bean",2,"DAVIS","Johnathan Reginald","GRN","Australian Greens","Transfer Count",221
"39","Bean",2,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Preference Count",2957
"40","Bean",2,"DONNELLY","Matthew","LDP","Liberal Democratic Party","Transfer Count",301
"41","Bean",2,"FAULKNER","Therese Mary","AUP","Australian Progressives","Preference Count",3093
"42","Bean",2,"FAULKNER","Therese Mary","AUP","Australian Progressives","Transfer Count",254
